date,satellite,day,ist,utc
2023-10-19,Sentinel-3A,Thursday,11:49:50,10:49:50
2023-10-19,Sentinel-2B,Thursday,12:36:08,11:36:08
2023-10-19,Sentinel-1A,Thursday,18:18:36,17:18:36
2023-10-19,Sentinel-3B,Thursday,22:37:14,21:37:14
2023-10-19,Landsat-8,Thursday,22:52:19,21:52:19
2023-10-19,Sentinel-2A,Thursday,23:10:41,22:10:41
2023-10-20,Sentinel-1A,Friday,07:47:36,06:47:36
2023-10-20,Sentinel-1B,Friday,08:43:08,07:43:08
2023-10-20,Sentinel-3A,Friday,11:23:50,10:23:50
2023-10-20,Landsat-8,Friday,12:22:19,11:22:19
2023-10-20,Sentinel-3B,Friday,12:25:14,11:25:14
2023-10-20,Sentinel-1A,Friday,18:59:36,17:59:36
2023-10-20,Sentinel-3B,Friday,22:11:14,21:11:14
2023-10-20,Sentinel-3A,Friday,22:50:50,21:50:50
2023-10-21,Sentinel-1A,Saturday,08:28:36,07:28:36
2023-10-21,Sentinel-3B,Saturday,11:59:14,10:59:14
2023-10-21,Sentinel-3A,Saturday,12:38:50,11:38:50
2023-10-21,Sentinel-1B,Saturday,18:28:08,17:28:08
2023-10-21,Sentinel-3B,Saturday,21:45:14,20:45:14
2023-10-21,Sentinel-3A,Saturday,22:24:50,21:24:50
2023-10-21,Sentinel-2B,Saturday,23:00:08,22:00:08
2023-10-22,Sentinel-1B,Sunday,07:45:08,06:45:08
2023-10-22,Sentinel-3B,Sunday,11:33:14,10:33:14
2023-10-22,Sentinel-3A,Sunday,12:12:50,11:12:50
2023-10-22,Sentinel-2B,Sunday,12:46:08,11:46:08
2023-10-22,Sentinel-1A,Sunday,18:42:36,17:42:36
2023-10-22,Sentinel-1B,Sunday,18:48:08,17:48:08
2023-10-22,Sentinel-3A,Sunday,21:58:50,20:58:50
2023-10-22,Sentinel-3B,Sunday,22:59:14,21:59:14
2023-10-23,Sentinel-1B,Monday,08:05:08,07:05:08
2023-10-23,Sentinel-1A,Monday,08:12:36,07:12:36
2023-10-23,Sentinel-3A,Monday,11:46:50,10:46:50
2023-10-23,Sentinel-1B,Monday,19:07:08,18:07:08
2023-10-23,Sentinel-3B,Monday,22:33:14,21:33:14
2023-10-24,Sentinel-1B,Tuesday,08:25:08,07:25:08
2023-10-24,Sentinel-3A,Tuesday,11:19:50,10:19:50
2023-10-24,Sentinel-3B,Tuesday,12:21:14,11:21:14
2023-10-24,Sentinel-2A,Tuesday,12:35:41,11:35:41
2023-10-24,Sentinel-1A,Tuesday,18:26:36,17:26:36
2023-10-24,Sentinel-3B,Tuesday,22:06:14,21:06:14
2023-10-24,Sentinel-3A,Tuesday,22:45:50,21:45:50
2023-10-24,Sentinel-2B,Tuesday,23:10:08,22:10:08
2023-10-25,Sentinel-1A,Wednesday,07:55:36,06:55:36
2023-10-25,Sentinel-1B,Wednesday,08:44:08,07:44:08
2023-10-25,Sentinel-3B,Wednesday,11:54:14,10:54:14
2023-10-25,Sentinel-3A,Wednesday,12:33:50,11:33:50
2023-10-25,Sentinel-3B,Wednesday,21:40:14,20:40:14
2023-10-25,Sentinel-3A,Wednesday,22:19:50,21:19:50
2023-10-26,Sentinel-3B,Thursday,11:28:14,10:28:14
